3EP Ltd.
55 Mercer St. Gallery
8BC
A. Contini & Son
Conarroe, George M. (George Mecum)
Cone, Etta
Cone, Marvin Dorwart
Conger, William
Connaway, Jay Hall
Connell, Clyde
Conner, Bruce Guldner
Connick, Charles J.
Connoisseur, Inc
Conover, Robert F. (Robert Fremont)
Constable, Rosalind
Constable, W. G. (William George)
Constant, George
Constantine, Mildred
Constantine, Olga
Constantino, Ruth Teschner
Contemporary Arts Association (Houston, Tex.)
Contemporary Arts Center (New Orleans, La.)
Contemporary Arts Museum
Contreras, Belisario R.
Cook, Daniel
Cook, Gordon
Cook, Lia
Cook, Robert William
Cooke, Betty 
Cooke, Hereward Lester
Cooke, Kathleen McKeith
Cooley, Dixie
Cooley, John L.
Coolidge, John
Coombe, Thomas
Cooper Union Museum for the Arts of Decoration
Cooper, William Arthur
Cope, George
Coplans, John
Copley Gallery
Copley Society (Boston, Mass.)
Copley, John Singleton
Copley, William Nelson
Corbett, Edward
Corbino, Jon
Corcoran Gallery of Art
Corey, Charles W.
Corinth, Thomas
Cornelius, Brother
Cornelius, Francis duPont
Cornell, Joseph
Cornish, John
Cornwell, Dean
Corrigan, Robert Willoughby
Cortiglia, Niccolo
Cortor, Eldzier
Coryell, Lewis S.
Cosmopolitan Art Journal
Costa, Francis J.
Cottingham, Robert
Couper, Greta Elena
Couper, William
Court, Lee Winslow
Coutarel, Martine-Elisa
Cove, Rosemary
Covensky, Helen Ciesla
Covey, Arthur Sinclair
Covo de Iongh Gallery
Cowan, Elizabeth
Coward-McCann, Inc
Cowboy Artists of America
Cowdrey, Mary Bartlett
Cowell, Olive Thompson
Cowles, Claude C.
Cowles, Fleur
Cowles, Hobart E.
Cowles, Russell
Cox, Allen Howard
Cox, Allyn
Cox, Gardner
Cox, Jan
Cox, Kenyon
Coye, Lee Brown
Crabb, Robert James
Craft, Paul
Crain, E. Gene
Cram, Ralph Adams
Cramer, Edsel M.
Cramer, Konrad
Cramer, Peter
Crampton, Rollin McNeil
Cranbrook Foundation
Cranch, John
Crane, Arnold H.
Crane, Diana
Cravath, Dorothy
Cravath, Ruth
Craven, Thomas
Crawford, Phyllis
Crawford, Thomas
Cremean, Robert
Creo, Leonard E.
Cret, Paul Philippe
Crichlow, Ernest T.
Crile, Susan
Crimi, Alfred D.
Crimp, Douglas
Criss, Francis
Crite, Allan Rohan
Crockwell, Douglass
Cron, Frederick W. (Frederick William)
Cronbach, Robt. (Robert M.)
Cronin, Ann
Cropsey, Jasper Francis
Crosby, Caresse
Crosby, Percy L. (Percy Leo)
Cross, Lewis L. (Lewis Luman)
Crotti, Jean Joseph
Crow, Cecille
Crow, Nancy
Crowley, Herbert E.
Crown, Constance Lebrun
Csoka, Stephen
Culler, George D.
Cullinan, Nina J.
Culver, Charles B.
Cumming, Arthur
Cumming, William
Cummings, Frank E.
Cummings, Frederick James
Cummings, Paul
Cummings, Thomas Seir
Cummings, Willard Warren
Cummins, Susan
Cunningham, Ben
Cunningham, Charles
Cunningham, Francis
Cunningham, Imogen
Cunningham, Patricia Stanley
Cunningham, Priscilla
Curran, Joseph L.
Currie, Sara R. (Sara Rockefeller)
Currier, Anne
Currier, Nathaniel
Curry, John Steuart
Curry, Kathleen
Curtis, Benjamin F.
Curtis, Dolly Powers
Curtis, Philip C. (Philip Campbell)
Curtiss-Gould, Leah
Cusack, Barbara
Cushing Galleries (Dallas, Tex.)
Cushing, Lily Emmet
Cushing, Val M.
Custer, Arline
Cusumano, Stefano
Cuthbert, Virginia
Cutler, Carl Gordon
Cutler, Charles Gordon
Cutler-Shaw, Joyce
Czestochowski, Joseph S.
D.W. Gallery (Dallas, Tex.)
Dabo, Leon
Dahl, Arthur L.
Dahlgreen, Charles W. (Charles William)
Dailey, Dan Owen
Daingerfield, Elliott
Daingerfield, Marjorie
Dale, Chester
Dale, Gloria
Daley, William
Dalí, Salvador
Dallas Art Association
Dallas Museum for Contemporary Arts
Dallas Museum of Fine Arts
Dallin, Cyrus E. (Cyrus Edwin)
Daly, Nellie Murtha
Daly, Stephen J. (Stephen Jeffrey)
Damaz, Paul F.
D'Amico, Augustine A.
Dana, Homer
Daniel, Charles
Daniel, Mell
Danieli, Fidel
Daniels, David M.
Daniels, Jonathan
Dann, Frode Nielsen
Danto, Arthur Coleman
Danysh, Joseph A.
Daphnis, Nassos
Darger, Henry
Darley, Felix Octavius Carr
Darley, Felix Octavius Carr, Mrs
Dasburg, Andrew Michael
Dash, Robert Warren
Dater, Judy
D'Atri, Alberto G.
Datz, A. Mark (Abraham Mark)
Daugherty, James Henry
Daughters of the American Revolution
Davey, Randall
David Gallery
David, Don Raymond
Davidson, Jean
Davidson, Julian Oliver
Davidson, Julius Ralph
Davidson, Marshall B.
Davidson, Morris
Davidson, W. B. William B.
Davies, Arthur B. (Arthur Bowen)
Davies, Florence
Davies, Harold C.
Davies, Hugh Marlais
Davies, Margaret M.
Davies, Monica Borglum
Davies, W. J. K.
Davis, David E.
Davis, Gene
Davis, Gladys Rockmore
Davis, Jim
Davis, Leroy
Davis, Richard A. (Richard Allen)
Davis, Stuart
Davis, Willis Bing
Dawson, Charles C.
Dawson, Manierre
Dawson, William
Day, Elizabeth Nottingham
Day, F. Holland (Fred Holland)
Day, Horace Talmage
Day, John
Day, Larry
Day, Worden
De Botton, Jean
De Celle, Edward Brooks
De Champlain, Vera Chopak
De Coux, Janet
De Creeft, José
De Diego, Julio
De Erdely, Francis
De Escobar, Estelle Glaser
De Forest, Augustus F.
De Forest, Lockwood
De Forest, Roy
De Francisci, Anthony
De Groot, Nanno
De Knight, Avel
De Kooning, Elaine Marie
De Kooning, Willem
De Kruif, Henri Gilbert
De Kubinyi, Victor
de Land, Colin
De Long, Emma Wotton
De Looper, Willem
De Lue, Donald
De Mare, Marie
De Maria, Walter
De Martelly, John Stockton
De Nagy, Tibor
De Niro, Robert
De Patta, Margaret
De' Pazzi, Ellen
De Rivera, José Ruiz
De Ruth, Jan
De Saisset Museum
De Stephano, Flora
De Swart, Jan
De Vivo, Michael
Deakin, Edwin
Dean, Peter
Deane, Edward Eldon
DeCosta, William
Deeter, Jasper
Defenbacher, Daniel S.
DeFeo, Jay
Dehn, Adolf Arthur
Dehner, Dorothy
Deitch, Belle M.
Deitch, Jeffrey
Del Deo, Josephine Couch
Del Deo, Salvatore
Delabano, Barney
Delahunty (Gallery)
Delaney, Beauford
Delaney, Joseph
Delano, Annita
Delano, Jack
Delaplaine, Joseph
Delarue, Allison
DeLawter, Hilbert H.
Delbos, Julius M.
Delevante, Sidney
Demi
Deming, Adelaide
Deming, Dave
Deming, Edwin Willard
DeMonte, Claudia
DeMott, Helen
Dempsey, Richard W.
Demuth, Charles
Dena
Denes, Agnes
Denghausen, Franz H.
Denney, Alice
Denslow, Dorothea H. (Dorothea Henrietta)
Dent, Herbert C. (Herbert Crowley)
Dentler, Clara Louise
Derujinsky, Gleb W.
DeSalle, Peggy
Desch, Frank H.
Desloovere, Liliane
Desow-Fishbein, Lillian
Despard, Barbara Butler
Dessar, Louis Paul
DeStaebler, Stephen
Detroit Art Loan Association
Detroit Artists' Association
Detroit Artists Market
Detroit Institute of Arts
Detroit Institute of Arts1
Deutsch, Boris
Devree, Howard
Dewey, Kenneth
Dewing, Thomas Wilmer
DeWitt, John
DeWitt, Miriam Hapgood
D'Harnoncourt, Rene
Di Gioia, Frank
Di Mare, Dominic
Di Suvero, Mark
Di Vito, Joan
Diamond, Martin
Diamonstein, Barbaralee
Dickey, Roland F.
Dickie, Jean Kellogg
Dickinson, Anson
Dickinson, Edwin Walter
Dickinson, Eleanor Creekmore
Dickman, William J.
Diebenkorn, Richard
Diederich, William Hunt
Diehl, Edith
Diemer, M. E.
Dienes, Sari
Dietz, Charles N.
Dike, Phil
Dilexi Gallery
Dill, Guy
Dillenberger, Jane
Diller, Burgoyne
Dillon, Alfred Joseph
Dilmaghani, Marion
Dine, Jim
Dinkins, Fitzhugh D.
Dintenfass, Terry
Dionisio, Humberto
Dirks, Rudolph
Dix, Eulabee
Dixon, Harry
Dixon, James Budd
Dixon, Maynard
Dmitri, Ivan
Dobkin, Alexander
Dochterman, Lillian
Dockstader, Frederick J.
Doctoroff, John
Dodd, Lamar
Dodd, Lois
Dodge, John Wood
Dodge, William de Leftwich
Dodson, Sarah Paxton Ball
Doktor, Raphael
Dole, William
Dolejska, Frank
Dolinsky, Nathan
Doll & Richards (Gallery)
Dolloff, Francis W.
Domingo, Katherine Kalehuapuakeaula
Dominguez, Eddie
Donahue, Kenneth
Donaldson, Bruce M.
Donaldson, John M.
Donati, Enrico
Dondero, George Anthony
Donoho, Gaines Ruger
Dooley, William Germain
Dornbush, Adrian
Dorner, Alexander
Dorothy Goldeen Gallery (Santa Monica, Calif.)
Dorothy Weiss Gallery
Doty, Robert M.
Double X.
Doud, Richard Keith
Dougherty, Paul
Douglas, Aaron
Douglas, George
Douglas, Mary F.
Douglass, Calvin
Douglass, John
Dove, Arthur Garfield
Dow, Arthur W. (Arthur Wesley)
Dow, Dorothy
Dowden, Raymond Baxter
Dowell, Violet Hayden
Downey, F. Roger
Downing, George Elliott
Downing, Thomas
Downtown Gallery (New York, N.Y.)
Dows, Olin
Doyle, Alexander
Doyle, Tom
Dozier, Otis
Drake, Alexander
Draper, William F. (William Franklin)
Drawing Society
Dreer, Ferdinand J. (Ferdinand Julius)
Dreier, Dorothea A. (Dorothea Adelheid)
Dreisbach, Fritz
Drerup, Karl
Dreselly, Andrew
Dreskin, Jeanet Steckler
Drewes, Werner
Drexel Institute of Technology
Drexler, Lynne Mapp
Dreyer, Margaret Webb
Driggs, Elsie B.
Drinker, Henry Sandwith
Drutt, Helen Williams
Dryfoos, Nancy Proskauer
Du Bois, Guy Pène
Du Buron, Edouard
Du Casse, Ralph Soule
Du Jardin, Gussie
Du Pont, Henry Francis
Du Simitière, Pierre Eugène
Du Vannes, Albert
Du Von, Jay
DuBack, Charles S. (Charles Steven)
DuBois, Teunis Denise
DuBose Gallery (Houston, Tex.)
Duca, Alfred Milton
Duchamp, Marcel
Duckworth, Ruth
Dugmore, Edward
DuMond, Frank Vincent
Dunbar, Harold
Duncan, Frederick B.
Dunham, Dows
Dunn, Esther Haines
Dunton, W. Herbert
Dunwiddie, Charlott
Durand, Asher Brown
Durand, John
Durchanek, Ludvik
Durieux, Caroline
Durrie, George Henry
Duval, Peter S.
Duveen Brothers
Duveen, Albert
Duveneck, Frank
Duyckinck, Evert A. (Evert Augustus)
Dwan Gallery (New York, N.Y.)
Dwan, Virginia
Dwight, Almira Throop
Dwight, Edward H.
Dworzan, George R.
Dwyer, Matt J.
Dzubas, Friedel
E.B. Crocker Art Gallery
Eagen, Marion Kenney
Eagle's Nest Art Colony
Eakins family
Eakins, Susan Hannah Macdowell
Eakins, Thomas
Eames, Ray
Earl, Jack
Earle, Edwin
Earley, John J. (John Joseph)
Eason, Marjorie
East Side Gallery (New York, N.Y.)
Eastwood, Evelyn
Eaton, Charles James Madison
Ebendorf, Robert
Ebert, Mary
Eckert, Carol
Eckert, Tom
Eckhardt, Edris
Eckman, Jeannette
Eckstein, Joanna
Eckstein, Ruth
Eddy, Don
Edelson, Mary Beth
Ederheimer, R. (Richard)
Edinger, Dorothy
Edmonds, Francis William
Edward Eberstadt & Sons
Edward MacDowell Association
Edwards, Ethel
Edwards, George Wharton
Edwards, Melvin
Edwards, Park
Egas, Camilo
Egner, John
Egri, Ruth
Egri, Ted
Ehrenreich, Emma
Eichenberg, Fritz
Eichholtz, Jacob
Eilshemius, Louis M. (Louis Michel)
Eisenberg, Sonja Miriam
Eisendrath, William N.
Eisenlord, William J.
Eisgrau, Evelyn
Eisner, Dorothy
Eisner, William J.
Elam, Charles H.
Elder, Gene
Eldredge, Harrison
Eleanor Le Maire Associates
Eliasoph, Paula
Eliasoph, Philip
Ellender, Raphael
Ellet, E. F. (Elizabeth Fries)
Ellin, Everett
Elliott, Elizabeth Shippen Green
Elliott, Henry Wood
Elliott, Ronnie Rose
Ellis, David Tompkins
Ellis, Fred
Ellis, Fremont F.
Ellsworth, David
Elmer, Maud Valona
Elsen, Albert Edward
Elsenheimer, Barbara
Elshin, Jacob Alexander
Elsner, William H.
Elspass, Margy Lee
Emanuel, Herzl
Emerson, Edith
Emerson, O. P., Mrs
Emerson, William C.
Emery, Edwin
Emery, Humphery
Emil, Allan D.
Emmerich, Andre
Emmet Family
Engard, Robert Oliver
Engel, Michael M.
Englander, Steven
Engle, Margaret D.
Enneking, John J.
Ente, Lily
Enters, Angna
Erbe, Gary T.
Erffa, Helmut von
Erickson, Laurel
Erlanger, Elizabeth N. (Elizabeth Nachman)
Erlebacher, Martha Mayer
Erlebacher, Walter
Ernst, Jimmy
Ernst, Max
Esherick, Wharton
Esman, Betty
Esman, Rosa
Esses, Samuel
Estes, Richard
Esther Bear Gallery (Santa Barbara, Calif.)
Esther-Robles Gallery
Etchison, W. Richard
Etnier, David
Etnier, Stephen
Etting, Emlen
Etting, Frank M. (Frank Marx)
Euler, Edwin Reeves
Eva Lee Gallery
Evans, Charlotte Cushman
Evans, David
Evans, Lucile
Evans, Walker
Evans, William T.
Everett & Mead (Firm : Boston, Mass.)
Everett Ellin Gallery
Everett, Eugenia Z.
Everett, Walker Griffith
Evergood, Philip Howard
Evett, Kenneth Warnock
Evett, Philip John
Ewing, Louie H.
Ewing, Virginia
Exhibition Momentum (Art group: Chicago, Ill.)
Experiments in Art and Technology (Organization)
Ezekiel, Moses Jacob
Faatz, Anita J. (Anita Josephine)
Fabian, Gerald Langston
Fabri, Ralph
Facci, Domenico Aurelio
Faggi, Alfeo
Fain, Barnet
Fairbanks, Avard T. (Avard Tennyson)
Fairbanks, Eugene F.
Faison, S. Lane (Samson Lane)
Fakes, Grace
Falconer, John Mackie
Fales, De Coursey
Falk, Gary M.
Falk, Sawyer
Falkenstein, Claire
Falmouth Historical Society
Fane, Lawrence
Faragher, Kristina
Faralla, Richard
Farley, Charles
Farndon, Walter
Farnsworth, Jerry
Farny, Henry François
Farr, Charles Griffin
Farr, Janet Sharon Johnston
Farruggio, Remo
Fasano, Clara
Faulkner, Barry
Faure, Patricia
Faye, Helen
Fearing, Kelly
FeBland, Harriet
Federal Art Project (Calif.)
Federal Art Project (Iowa)
Federal Art Project (N.M.)
Federal Art Project (Ohio)
Federal Art Project (Or.)
Federal Art Project (Pa.)
Federal Art Project (U.S.)
Federal Art Project (Va.)
Federal Art Project (Wis.)
Federal Art Project. Photographic Division
Federal Music Project (Pa.)
Federal Music Project (U.S.)
Federal Theater Project (Conn.)
Federal Writers' Project
Federation of Modern Painters and Sculptors
Fedoroff, George W.
Feeley, Paul
Fehrer, Oscar
Feigen, Richard L.
Feigin, Dorothy Dee Lubell
Feild, Robert Durant
Feinberg, Camille
Feinberg, Charles E.
Feininger, Lyonel
Feininger, T. Lux
Feirtag, Irving
Feitelson, Lorser
Feld, Stuart P.
Feldenheimer, Edith
Feldman, Walter
Felsen, Rosamund
Felsen, Sidney B.
Fendrick Gallery
Fenster, Fred
Fenton, Beatrice
Fenton, Shaindy
Fenyes, Eva Scott
Ferargil Galleries
Ferber, Herbert
Ferguson, Duncan
Ferne, Hortense T.
Ferrara, Jackie
Ferren, John
Ferrer, Rafael
Ferris, Jean Leon Gerome
Ferriss, Dorothy Laphan
Ferriter, Clare
Ferry, W. Hawkins
Ferst, Charlotte
Feshin, Nikolai Ivanovich
Fesler, Caroline
Fiberworks, Center for the Textile Arts
Fiberworks, Center for the Textile Arts,
Field, Thyrsis
Field, Virginia
Fields, Earl T.
Fields, Mrs. Herbert
Fiene, Ernest
Fifth Avenue Gallery (Fort Worth, Tex.)
Filipowski, Richard E.
Finch College. Museum of Art
Fincke, Joy Yeck
Fine Arts Federation of New York
Fine Arts Museum of San Francisco. Graphic Arts Council
Fine Arts Museums of San Francisco
Fine, Perle
Fingesten, Peter
Fink, Alan
Fink, Lou
Finkelstein, Louis
Finster, Howard
First Art Film Festival in America (1951 : Woodstock, N.Y.)
First National Bank of Fort Worth (Fort Worth, Tex.)
Fisch, Arline M.
Fischbach Gallery
Fischer, Bernard
Fischer, Kitty C. L.
Fischinger, Oskar
Fischl, Eric
Fish, Janet
Fisher, Bernice
Fisher, Ethel
Fisher, Jonathan
Fishman, Louise
Fisk, Edward
Fiske, Gertrude
Fiske, Kenneth B.
Fiskin, Judy
Fitch, Gladys Kelley
Fittler, James
Fitzgerald Gallery (New York, N.Y.)
Fitzgerald, Charles
Fitzgerald, Desmond
Fitzgerald, James
FitzGerald, James Herbert
Fitzgerald, Oscar P.
Fitzgerald, Richard
Fitzgerel, Robert K.
Flack, Audrey
Flagg, Charles Noel
Flagg, Jared B. (Jared Bradley)
Flanagan, Hallie
Flanagan, John F.
Flannagan, John Bernard
Flaxman, John
Fleck, Joseph A.
Fleckenstein, Opal R.
Fleetwood, Charles
Fleischman, Lawrence Arthur
Fleischmann, Adolf
Fleischner, Richard Hugh
Fleisher, Samuel S.
Fletcher, William Dolan
Flexner, James Thomas
Flint, Albert S. (Albert Stowell)
Flint, Leroy W. (Leroy Walter)
Floch, Joseph
Flores, Elsa
Florio, Dennis
Florsheim, Richard A.
Flournoy, Frederick W.
Floyd, William Barrow
Flynt, Henry N. (Henry Needham)
Focus Gallery
Fogel, Seymour
Fogg Art Museum
Fogg, Adelaide
Folmar, Maude
Forbes, Robin
Force, Juliana
Ford, Gordon Lester
Ford, Hermine
Ford, Howard C.
Ford, John Charles
Ford, Lauren
Ford, Ruth Van Sickle
Ford, Walter Buhl
Fordham University
Forman, Edward A.
Forsberg, David W.
Forsyth, Robert J.
Fort Worth Art Museum
Fort Worth National Bank
Fortess, Karl E. (Karl Eugene)
Forum Gallery (New York, N.Y.)
Fosburgh, James Whitney
Foster Brothers (Boston, Mass.)
Foster, Gerald Sargent
Foster, Guthrie
Foster, John Arthur
Foster, William Frederick
Foulkes, Llyn
Foundation for Art Resources (Los Angeles, Calif.)
Fowble, E. McSherry
Fowler, Robert K.
Fowles, Edward
Fox, Milton S.
Fox, Pearl
Fox, Terry
Foy, Frances M.
Fraad, Rita R. (Rita Rich)
Frackman, Noel
Fraiberg, Lawrence P.
Frances Wolfson Art Gallery
Francis, Emily A.
Francis, Henry Sayles
Francis, John F.
Francisco, J. Bond (John Bond)
Francisco, Robert M.
Franck, Frederick Sigfred
Franco, Victor
Frank K.M. Rehn Galleries
Frank Lloyd Gallery
Frank W. Smith, Inc. (Gardner, Mass.)
Frank, Mary
Frankel, Godfrey
Frankenstein, Alfred Victor
Frankenstein, George L.
Frankenthaler, Helen
Franklin, Benjamin
Franklin, Gilbert A. (Gilbert Alfred)
Frank-Rush, La Vern
Fransioli, Thomas Adrian
Frantz, Sali
Franz Bader Gallery
Frary, Michael
Frasconi, Antonio
Fraser, James Earle
Fraser, Joseph T.
Fraser, William Lewis
Frash, Robert M.
Frazee, John
Frazer, Oliver
Frazer, Samuel Wilson
Frazier, John Robinson
Freda, David C.
Fredenthal, David
Fredericks, Marshall
Free Library of Philadelphia. Prints Dept
Free, Karl R.
Freed, Frank
Freed, William
Freedman, Doris C. (Doris Chanin)
Freeman, Betty
Freeman, Don
Freeman, George
Freeman, James E.
Freeman, Jane
Freeman, Mark
Freeman, Phyllis
Freeman, Richard B.
Freer, Charles Lang
Frei, Emil, Jr.
Freilicher, Jane
French Institute in the United States
French, Daniel Chester
French, Edwin Davis
French, Jared
Freudenheim, Tom L.
Freund, Burton
Frey, Viola
Frid, Tage
Fridge, Roy
Fried, Robert
Fried, Theodore
Friedlander, Leo
Friedman, Arnold
Friedman, B. H. (Bernard Harper)
Friedman, Betty
Friedman, Ken
Friedman, Martin
Friedman, William
Friel, John Mathews
Frieseke, Frederick C. (Frederick Carl)
Friis-Hansen, Dana
Frimkess, Michael
Frisbie, Ruth E.
Froelich, Maren M. (Maren Margrethe)
Froman, Ramon Mitchell
Frost, A. B. (Arthur Burdett)
Frost, Arthur Burdett
Frost, Doug
Frost, Frederick G.
Frueh, Alfred Joseph
Fruhauf, Aline
Frumkin, Allan
Frye, Ruth Elizabeth
Fryworth, Teressa
Fuermann, George
Fulda, Elisabeth Rungius
Fuller, Augustus
Fuller, Diana Burgess
Fuller, George
Fuller, Henry Brown
Fuller, Lucia Fairchild
Fuller, Richard E. (Richard Eugene)
Fuller, Sue
Fulton, Ellen
Furey, Joseph E.
G.R.D. Studio (New York, N.Y.)
Gabrielson, Walter
Gadbois, Henri
Gaertner, Carl F. (Carl Frederick)
Gaethke, George
Gagarin, Andrew
Gage, George
Gage, Merrell
Gaines, John
Galaway, Glen Allen
Galen, Elaine
Galeria Escondida (Taos, N.M.)
Galerie Chalette
Galerie Ravel (Austin, Tex.)
Gallant, Mitzi
Gallatin, A. E. (Albert Eugene)
Gallery 1015
Gallery 256 (Provincetown, Mass.)
Gallery at Workbench
Gallery Wall Inc
Gallwitz, Carl Christ Wilhelm
Galt, John
Galveston Arts Center
Gamble, Roy C.
Gamboa, Harry
Gammell, R. H. Ives (Robert Hale Ives)
Gammon, Reginald A. (Reginald Adolphus)
Ganso, Emil
Ganthiers, Louise Marie
Gantz, Ann Cushing
Garabedian, Charles
Garber, Daniel
Garcia, Enrique Guy
García, Hernán
Garcia, Rupert
Gardiner, Edward Carey
Gardiner, Henry G.
Gardner, Elizabeth Jane
Gardner, Fred
Gardner, Isabella Stewart
Gargoyle (Paris, France)
Garman, Ed
Garrison, Eve Jospehson
Garrison, Robert
Garvan, Beatrice B.
Garvan, Francis P. (Francis Patrick)
Garver, Thomas H.
Garvey, Eleanor M.
Garza, Carmen Lomas
Gaskin, William
Gaspar, Miklos
Gaspard, Leon
Gasparo, Oronzo
Gasparro, Frank
Gasser, Henry M.
Gassner, Mordi
Gaston, Godfrey O.
Gatch, Lee
Gates, Margaret Casey
Gates, Robert Franklin
Gaw, William A.
Gay, Edward
Gay, Walter
Gay, Winckworth Allan
Gaylor, Wood
Gazarian, Gladys
Geber, Hana
Gechtoff, Leonid
Gechtoff, Sonia
Gedeon, Lucinda H.
Geissbuhler, Arnold
Geist, Sidney
Gelb, Jan
Geldzahler, Henry
Gellatly, John
Gellert, Hugo
Genauer, Emily
Genth, Lillian Mathilde
Genthe, Arnold
Gentile, Fred
Gentille, Thomas
Gentry, Herbert Alexander
George Walter Vincent Smith Museum
Georges, Paul
Gerard, Paula
Gerardia, Helen
Gerber, Anne
Gernand, John
Gerrity, John Emmett
Gershoy, Eugenie
Gerson, Otto
Gertrude Kasle Gallery (Detroit, Mich.)
Geske, Norman A.
Getlein, Frank
Getz, Ilse
Gibbons, Margarita
Gibbs, Howard M. (Howard Manning)
Gibran, Kahlil
Gibson, Arthur Hopkin
Gibson, Charles Dana
Gibson, W. Hamilton (William Hamilton)
Gieling, Imogene "Tex"
Gifford, Charles H. (Charles Henry)
Gifford, R. Swain (Robert Swain)
Gifford, Sanford Robinson
Gikow, Ruth Levine
Gilbert, George A.
Gilbertson, Boris
Gilder, Dorothea
Gilder, Richard Watson
Gilder, Rosamond
Giles, Howard
Giles, Mary
Gilien, Ted
Gill, James Dwyer
Gillespie, Dorothy Muriel
Gilliam, Sam
Gilliland, Marion Spjut
Gill's Art Galleries
Gilman, Daniel Coit
Gilmor, Robert
Gilmore, John
Gilpin, Hattie Newcomer
Gilpin, Henry D. (Henry Dilworth)
Gilpin, Margaret Beard
Giltner, Charlotte L.
Gimpel, René
Giobbi, Edward Gioachino
Gitelson, Susan Aurelia
Giuliano, Charles
Glackens, Ira
Glasco, Joseph
Glaser, Milton
Glasier, Marshall
Glass, Elizabeth Hamm
Glassgold, C. Adolph
Glave, G. Y.
Glendenning, Herman W.
Glenn, Constance
Glicenstein, Enrico
Glick, John Parker
Glinsky, Vincent
Glintenkamp, Henry
Gloeckler, Raymond
Gobrecht, Christian F.
Goddard, Ruth
Godwin, Blake-More
Godwin, Judith Whitney
Goertz, Augustus F. (Augustus Frederick)
Goff, Lloyd Lozés
Goings, Ralph
Golbin, Andrée
Gold, Fay Helfand
Gold, Leah
Goldbeck, E. O. (Eugene Omar)
Goldberg, Elias
Goldberg, Kenneth Paul
Goldberg, Maurice E.
Goldberg, Michael
Goldberg, Rube
Golden, Eunice
Goldin, Amy
Goldschmidt, Lucien
Goldsmith, Caroline Lerner
Goldsmith, Deborah
Goldsmith, Morton Ralph
Goldstein, Ben
Goldthwaite, Anne
Goldwater, Robert John
Golub, Leon
Gonzalez, Xavier
Goodall, Donald B.
Goode, James M.
Goode, Joe
Goodman, Helen
Goodman, James
Goodman, Louis
Goodman, Marian
Goodman, Sidney
Goodman, Walter
Goodnough, Robert
Goodrich, Gertrude
Goodrich, Laurence B.
Goodrich, Lloyd
Goodspeed, George
Goodwin, George M.
Goodwin, Richard La Barre
Goodyear, Rosalie
Goossen, E. C.
Gordin, Sidney
Gordon, Joni
Gordon, Lois K.
Gordy, Robert
Gore, Marian L.
Gorelick, Boris
Gorham Manufacturing Company. Bronze Division
Gorky, Arshile
Gornik, April
Gorson, Aaron Harry
Gorton, Sally Kent
Goss, Dale M.
Gotcliffe, Sid
Gottlieb, Adolph
Gottlieb, Esther Dick
Gottlieb, Harry
Gottlieb, Sara
Goulet, Lorrie H.
Goupil & Cie
Gowans, Alan
Grabhorn-Engel, Irma
Grace Borgenicht Gallery
Gracie Mansion Gallery
Grafly, Charles
Grafly, Dorothy
Graham Gallery
Graham, Donald S.
Graham, F. Wynn
Graham, John D. (John Dabrowsky)
Graham, Robert Claverhouse
Gralnick, Lisa
Grand Central Art Galleries
Grant, Campbell
Grant, Dwinell
Grant, Gordon
Grapestake Gallery
Gratz, Simon
Graves, Morris
Graves, Nancy Stevenson
Gravlee, Dianne
Gray, Cleve
Gray, Richard
Greacen, Edmund W.
Greason, Donald Carlisle
Greco, Frank
Green, Eleanor
Green, Frank Russell
Green, George Thurman
Green, Mark
Green, Paul
Green, Samuel Adams
Greenbaum, Dorothea S.
Greenbaum, Jack
Greenbaum, Theodora S.
Greenberg, Clement
Greenberg, Joseph J.
Greene, Balcomb
Greene, Stephen
Greenhouse, Wendy
Greenman, Frances Cranmer
Greenough fam, Greenough family
Greenough, Horatio
Greenstone, Marion
Greenwich Art Society (Greenwich, Conn.)
Greenwood, Grace
Greenwood, Marion
Greer, Frances
Greer, Germaine
Gregory, John
Gregory, Mary Edith
Gregory, Waylande
Grever, Otto Lambert
Greywacz, Kathryn Burch
Grier, Harry D. M.
Grieve, Harold W. (Harold Walter)
Griffin, Gary
Griffin, Rachael
Griffin, Walter
Grillo, Jean Bergantini
Grillo, John
Grimaldi, Vincent
Grimm, Marjorie
Grippe, Peter J.
Groce, George C.
Gronk, (Glugio Gronk Nicandro)
Grooms, Mimi Gross
Grooms, Red
Gropius, Ise
Gropius, Walter
Gropper Art Gallery
Gropper, William
Groshans, Werner Emil
Grosman, Tatyana
Gross McCleaf Gallery
Gross, Chaim
Gross, Estelle Shane
Gross, Sidney
Grosser, Maurice
Grossman, Roy
Grossman, Sid (Sidney)
Grosvenor, Robert
Grotell, Maija
Groth, John
Grotz, Dorothy Rogers
Groves, W. E. (William E.)
Groves, Wellington
Gruen, John
Grunbaum, Marian Hettner
Gruppe, Charles Paul
Gruppe, Karl
Gruskin, Mary J.
Guccione, Juanita Marbrook
Gudlman, Aharon
Guerin, John William
Guermonprez, Trude
Guerrero, José
Guerrero, Ramón
Guerrilla Girls
Guggenheim, Peggy
Guggenheimer, Ida Espen
Guggenheimer, Richard H. (Richard Henry)
Gugler, Eric
Guglielmi, Louis
Guidry, Albert R.
Guild Art Gallery (New York, N.Y.)
Guild of Boston Artists
Guimard, Adeline Oppenheim
Guiot, Marcel
Gummelt, Sam
Gump's Gallery (San Francisco, Calif.)
Gunther, Erna
Gurney, George
Gurr, Lena
